node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
167,524.3350,183.0160,0.0000,0.000006,0.000058,-0.000539,1.476455,203.7
168,528.3230,176.1100,0.0000,0.000006,0.000006,-0.000195,1.476455,203.7
169,532.3100,169.2040,0.0000,0.000032,-0.000010,-0.000205,1.476455,203.7
170,536.2970,162.2980,0.0000,0.000005,-0.000003,-0.000196,1.476455,203.7
171,540.2850,155.3910,0.0000,0.000079,0.000016,-0.000190,1.476455,203.7
172,544.2720,148.4850,0.0000,0.000169,0.000006,-0.000183,1.476455,203.7
173,548.2600,141.5790,0.0000,0.000051,-0.000064,-0.000203,1.476455,203.7
174,552.2470,134.6720,0.0000,-0.000054,-0.000095,-0.000219,1.476455,203.7
175,556.2340,127.7660,0.0000,-0.000020,-0.000010,-0.000109,1.476455,203.7
176,560.2210,120.8600,0.0000,0.000004,0.000030,0.000038,1.476455,203.7
177,564.2090,113.9540,0.0000,0.000019,0.000018,0.000243,1.476455,203.7
178,568.1960,107.0470,0.0000,0.000003,0.000005,0.000112,1.476455,203.7
179,572.1840,100.1410,0.0000,0.000004,-0.000001,0.000102,1.476455,203.7
180,576.1710,93.2348,0.0000,0.000004,-0.000009,0.000094,1.476455,203.7
181,580.1580,86.3285,0.0000,0.000038,-0.000013,0.000040,1.476455,203.7
182,584.1460,79.4222,0.0000,0.000022,0.000023,-0.000125,1.476455,203.7
183,588.1330,72.5159,0.0000,0.000020,0.000016,-0.000079,1.476455,203.7
184,592.1200,65.6096,0.0000,-0.000025,-0.000005,0.000008,1.476455,203.7
185,596.1080,58.7034,0.0000,-0.000000,-0.000012,-0.000010,1.476455,203.7
186,600.0950,51.7971,0.0000,0.000031,-0.000053,-0.000037,1.476455,203.7
187,604.0820,44.8908,0.0000,0.000009,-0.000034,-0.000023,1.476455,203.7
188,608.0700,37.9845,0.0000,0.000007,-0.000020,-0.000056,1.476455,203.7
189,612.0570,31.0783,0.0000,0.000014,-0.000020,-0.000087,1.476455,203.7
190,616.0440,24.1720,0.0000,0.000024,-0.000019,-0.000065,1.476455,203.7
191,620.0320,17.2657,0.0000,0.000005,-0.000010,0.000048,1.476455,203.7
192,624.0190,10.3594,0.0000,-0.000003,-0.000004,0.000071,1.476455,203.7
193,628.0060,3.4531,0.0000,-0.000003,-0.000002,0.000132,1.476455,203.7
194,318.9870,538.6900,-0.2000,-0.000001,0.000001,-0.000001,1.476455,203.7
195,322.9750,531.7830,-0.2000,-0.000006,0.000004,0.000006,1.476455,203.7
196,326.9620,524.8770,-0.2000,0.000014,0.000043,0.000006,1.476455,203.7
197,330.9490,517.9710,-0.2000,0.000016,-0.000005,0.000015,1.476455,203.7
198,334.9370,511.0650,-0.2000,-0.000003,-0.000008,0.000008,1.476455,203.7
199,338.9240,504.1580,-0.2000,-0.000008,-0.000000,-0.000026,1.476455,203.7
200,342.9110,497.2520,-0.2000,0.000024,-0.000039,0.000029,1.476455,203.7
201,346.8990,490.3460,-0.2000,0.000068,-0.000133,0.000048,1.476455,203.7
202,350.8860,483.4390,-0.2000,0.000042,-0.000056,-0.000025,1.476455,203.7
203,354.8730,476.5330,-0.2000,0.000000,-0.000009,-0.000083,1.476455,203.7
204,358.8610,469.6270,-0.2000,0.000005,-0.000001,-0.000099,1.476455,203.7
205,362.8480,462.7210,-0.2000,0.000007,0.000001,-0.000088,1.476455,203.7
206,366.8350,455.8140,-0.2000,-0.000007,0.000006,-0.000057,1.476455,203.7
207,370.8230,448.9080,-0.2000,-0.000019,0.000017,-0.000055,1.476455,203.7
208,374.8100,442.0020,-0.2000,-0.000005,0.000012,-0.000025,1.476455,203.7
209,378.7970,435.0960,-0.2000,0.000001,0.000002,-0.000009,1.476455,203.7
210,382.7850,428.1890,-0.2000,-0.000017,-0.000014,-0.000066,1.476455,203.7
211,386.7720,421.2830,-0.2000,0.000076,0.000019,-0.000578,1.476455,203.7
212,390.7590,414.3770,-0.2000,0.000015,-0.000004,-0.000347,1.476455,203.7
213,394.7470,407.4700,-0.2000,-0.000034,0.000098,-0.000265,1.476455,203.7
214,398.7340,400.5640,-0.2000,0.000043,0.000162,-0.000598,1.476455,203.7
215,402.7220,393.6580,-0.2000,-0.000015,-0.000090,-0.000184,1.476455,203.7
216,406.7090,386.7520,-0.2000,-0.000007,-0.000037,0.000175,1.476455,203.7
217,410.6960,379.8450,-0.2000,-0.000006,-0.000023,0.000182,1.476455,203.7
218,414.6840,372.9390,-0.2000,0.000030,-0.000005,0.000646,1.476455,203.7
219,418.6710,366.0330,-0.2000,-0.000018,0.000030,0.000981,1.476455,203.7
220,422.6580,359.1260,-0.2000,0.000057,0.000154,0.002227,1.476455,203.7
221,426.6460,352.2200,-0.2000,0.000129,0.000246,0.002654,1.476455,203.7
222,430.6330,345.3140,-0.2000,0.000112,0.000141,0.001663,1.476455,203.7
223,434.6200,338.4080,-0.2000,0.000022,0.000050,0.000639,1.476455,203.7
224,438.6080,331.5010,-0.2000,-0.000005,0.000006,0.000286,1.476455,203.7
225,442.5950,324.5950,-0.2000,0.000015,0.000063,-0.000072,1.476455,203.7
226,446.5820,317.6890,-0.2000,0.000015,-0.000023,-0.000213,1.476455,203.7
227,450.5700,310.7830,-0.2000,0.000030,-0.000054,0.000109,1.476455,203.7
228,454.5570,303.8760,-0.2000,0.000008,-0.000028,-0.000147,1.476455,203.7
229,458.5440,296.9700,-0.2000,0.000017,-0.000039,-0.000185,1.476455,203.7
230,462.5320,290.0640,-0.2000,-0.000076,-0.000109,-0.000268,1.476455,203.7
231,466.5190,283.1570,-0.2000,-0.000129,-0.000010,-0.000997,1.476455,203.7
232,470.5060,276.2510,-0.2000,-0.000024,0.000028,-0.000514,1.476455,203.7
233,474.4940,269.3450,-0.2000,-0.000009,-0.000001,-0.000248,1.476455,203.7
234,478.4810,262.4390,-0.2000,-0.000042,-0.000016,-0.000118,1.476455,203.7
235,482.4680,255.5320,-0.2000,-0.000044,0.000024,0.000078,1.476455,203.7
236,486.4560,248.6260,-0.2000,0.000015,0.000037,-0.000069,1.476455,203.7
237,490.4430,241.7200,-0.2000,0.000056,0.000032,-0.000075,1.476455,203.7
238,494.4300,234.8130,-0.2000,-0.000029,-0.000022,-0.000030,1.476455,203.7
239,498.4180,227.9070,-0.2000,-0.000004,0.000003,-0.000019,1.476455,203.7
240,502.4050,221.0010,-0.2000,0.000003,0.000010,0.000101,1.476455,203.7
241,506.3920,214.0950,-0.2000,-0.000017,0.000015,0.000251,1.476455,203.7
242,510.3800,207.1880,-0.2000,-0.000001,-0.000001,0.000115,1.476455,203.7
243,514.3670,200.2820,-0.2000,-0.000031,-0.000032,-0.000022,1.476455,203.7
244,518.3540,193.3760,-0.2000,-0.000114,0.000027,-0.000469,1.476455,203.7
245,522.3420,186.4700,-0.2000,-0.000004,0.000078,-0.000991,1.476455,203.7
246,526.3290,179.5630,-0.2000,0.000004,0.000013,-0.000285,1.476455,203.7
247,530.3160,172.6570,-0.2000,0.000002,-0.000009,-0.000183,1.476455,203.7
248,534.3040,165.7510,-0.2000,0.000018,-0.000017,-0.000214,1.476455,203.7
249,538.2910,158.8440,-0.2000,0.000047,0.000004,-0.000202,1.476455,203.7
250,542.2790,151.9380,-0.2000,0.000111,0.000013,-0.000180,1.476455,203.7
251,546.2660,145.0320,-0.2000,0.000130,-0.000026,-0.000186,1.476455,203.7
252,550.2530,138.1260,-0.2000,-0.000014,-0.000096,-0.000228,1.476455,203.7
