channel_id,x,y,vmm,ch,n,k,adc_med,adc_p25,adc_p75,adc_med_dnl,adc_n,station,eff,use,adc_med_untracked,n_hits,illuminated
628,272.79,157.42,5,52,0,0,,,,,0,P2_IN,,False,126.7254346947028,8800.0,False
629,443.98,249.39,5,53,40,8,112.5,107.25,122.25,112.0,8,P2_IN,0.2,False,117.28890815631388,76931.0,False
630,463.78,260.82,5,54,0,0,,,,,0,P2_IN,,False,114.29888317674173,35849.0,False
631,312.38,180.28,5,55,0,0,,,,,0,P2_IN,,False,105.6627687665032,10416.0,False
632,483.57,272.25,5,56,0,0,,,,,0,P2_IN,,False,114.1842250413679,23908.0,False
633,351.96,203.13,5,57,0,0,,,,,0,P2_IN,,False,124.76901798063624,36980.0,False
634,503.37,283.68,5,58,0,0,,,,,0,P2_IN,,False,118.83769633507852,15057.0,False
635,411.35,237.42,5,59,13046,1634,101.0,90.0,126.75,103.82309582309583,1634,P2_IN,0.12524911850375595,True,103.07287509238728,51630.0,True
636,431.14,248.85,5,60,10341,2696,97.0,86.0,123.0,99.45623836126629,2696,P2_IN,0.2607097959578377,True,104.72110427407284,63602.0,True
637,450.94,260.27,5,61,0,0,,,,,0,P2_IN,,False,96.76878797569556,35261.0,False
638,470.73,271.7,5,62,0,0,,,,,0,P2_IN,,False,103.662129703763,22143.0,False
639,510.32,294.56,5,63,0,0,,,,,0,P2_IN,,False,97.88051367950864,9895.0,False
703,398.96,257.7,6,0,3313,525,97.0,86.0,141.0,99.04225352112675,525,P2_IN,0.1584666465439179,True,101.3419147224457,22226.0,True
702,187.46,121.75,6,1,0,0,,,,,0,P2_IN,,False,93.75419501133788,6337.0,False
701,313.02,201.18,6,2,0,0,,,,,0,P2_IN,,False,92.02937765751837,14500.0,False
700,418.77,269.15,6,3,2154,402,102.0,94.0,139.0,106.71186440677967,402,P2_IN,0.18662952646239556,True,108.3969003969004,20593.0,True
699,207.27,133.21,6,4,0,0,,,,,0,P2_IN,,False,101.2217054263566,7207.0,False
