vi,pad_id,x_v,y_v,vmm,ch,n_track_v,k_hit_v,amp_n_v,amp_med_v,amp_p25_v,amp_p75_v,eff_v,di,x_d,y_d,n_track_d,k_hit_d,eff_d,amp_n_lead,amp_med_lead,amp_p25_d,amp_p75_d,amp_n_d,amp_med_d,amp_mean,pad_area,radius,connector_N,half,masked,mpv_v,mpv_d,use
158,545,355.92,171.19,16,30,0,0,0,,,,,158,355.917,171.1932,0,0,,0,,,,0,,,132.634,445.6877,5,bot,False,,,False
159,544,427.99,205.9,16,31,12700,11960,11960,202.56603773584905,141.0,291.0,0.9417322834645669,159,427.994,205.9001,9241,9097,0.9844172708581322,9097,716.3030303030303,440.961038961039,1136.2068965517242,7776,713.1228070175439,955.8065296251513,132.835,525.6925,5,bot,False,138.39228295819936,383.7037037037037,True
160,543,500.07,240.61,16,32,0,0,0,,,,,160,500.0709,240.6084,0,0,,0,,,,0,,,132.987,605.696,5,bot,False,,,False
161,542,191.89,90.36,16,33,0,0,0,,,,,161,191.8934,90.3556,0,0,,0,,,,0,,,131.527,262.7832,5,bot,False,,,False
162,541,263.97,125.05,16,34,0,0,0,,,,,162,263.9748,125.0482,0,0,,0,,,,0,,,132.204,342.7984,5,bot,False,,,False
163,540,408.13,194.45,16,35,35849,33409,33409,161.47611710323574,114.0,228.0,0.9319367346369495,163,408.1335,194.453,27637,26951,0.9751782031334804,26951,517.456,313.3358778625954,840.0900900900901,23524,512.0358744394618,726.8715817594895,132.792,502.8218,5,bot,False,118.95287958115183,328.4848484848485,True
164,539,480.21,229.16,16,36,0,0,0,,,,,164,480.2117,229.1595,0,0,,0,,,,0,,,132.947,582.8259,5,bot,False,,,False
165,538,336.05,159.75,16,37,0,0,0,,,,,165,336.0544,159.7486,0,0,,0,,,,0,,,132.565,422.8108,5,bot,False,,,False
166,537,119.81,55.69,16,38,0,0,0,,,,,166,119.8071,55.688,0,0,,0,,,,0,,,129.907,182.8116,5,bot,False,,,False
167,536,388.27,183.0,16,39,40112,35096,35096,128.70106300233343,97.0,174.0,0.8749501396090945,167,388.2657,183.0042,28831,27716,0.9613263501092574,27716,355.77581120943955,213.2701421800948,573.5730337078652,23912,352.1333333333333,519.5970558522154,132.738,479.9491,5,bot,False,104.85366951823502,216.55172413793105,True
168,535,460.35,217.71,16,40,3130,2939,2939,170.67906976744186,118.0,253.5,0.9389776357827476,168,460.3467,217.7091,114,113,0.9912280701754386,113,590.0,398.0,902.0,109,590.0,778.0884955752213,132.907,559.9562,5,bot,False,115.42857142857143,421.3333333333333,False
