pad_id,pad_cx,pad_cy,n_track,k_hit,eff,amp_n,amp_med,amp_p25,amp_p75,amp_n_own,amp_med_own,amp_mean
688,392.2463,246.9646,41362,39332,0.9509211353416179,39332,523.125,313.07103825136613,846.635294117647,34670,517.6712328767123,722.9403030611207
687,266.6793,167.5601,0,0,,0,,,,0,,
686,141.1204,88.1594,0,0,,0,,,,0,,
685,412.0511,258.4066,34866,34074,0.977284460505937,34074,833.1978609625668,506.14953271028037,1343.191489361702,30181,823.8639455782313,1091.8424605270882
684,286.4811,179.004,0,0,,0,,,,0,,
683,431.8549,269.8476,965,957,0.9917098445595854,957,677.0,414.0,1199.0,310,640.0,983.0679205851619
682,160.9131,99.6075,0,0,,0,,,,0,,
681,306.2821,190.4455,0,0,,0,,,,0,,
680,451.6582,281.287,0,0,,0,,,,0,,
679,471.4606,292.7258,0,0,,0,,,,0,,
678,326.0822,201.8859,0,0,,0,,,,0,,
677,491.2624,304.1637,0,0,,0,,,,0,,
676,180.7064,111.0511,0,0,,0,,,,0,,
675,345.8821,213.3244,0,0,,0,,,,0,,
674,200.5005,122.4917,0,0,,0,,,,0,,
673,365.6814,224.762,39637,36946,0.9321088881600524,36946,262.2022471910112,157.1736204576043,434.04946996466435,32027,255.20382165605096,400.8711091863801
672,220.2949,133.9297,0,0,,0,,,,0,,
671,385.4802,236.1986,46107,42908,0.9306179105125035,42908,388.44243792325057,227.340206185567,628.7450980392156,37822,382.5257985257985,557.6207700195768
670,405.2788,247.6348,31435,30387,0.9666613647208525,30387,616.0493827160494,373.3922261484099,991.7943925233645,26717,617.2977777777778,846.2907164247869
669,240.0895,145.3662,0,0,,0,,,,0,,
668,425.0767,259.07,36328,35651,0.9813642369522132,35651,913.3189189189189,534.2053571428571,1494.906976744186,32812,917.2857142857143,1190.0272082129534
667,259.884,156.8017,0,0,,0,,,,0,,
666,444.8746,270.5046,0,0,,0,,,,0,,
665,279.6786,168.2358,0,0,,0,,,,0,,
664,464.6725,281.9385,0,0,,0,,,,0,,
663,484.4697,293.3725,0,0,,0,,,,0,,
662,299.4733,179.6695,0,0,,0,,,,0,,
661,504.2669,304.8057,0,0,,0,,,,0,,
660,104.5448,60.2851,0,0,,0,,,,0,,
659,319.2679,191.1022,0,0,,0,,,,0,,
658,114.4485,66.0033,0,0,,0,,,,0,,
657,339.0627,202.5348,0,0,,0,,,,0,,
656,358.8578,213.9666,18600,17279,0.9289784946236559,17279,253.198606271777,148.74479166666666,417.34782608695656,14655,249.38333333333333,385.2188205335957
655,134.2382,77.4287,0,0,,0,,,,0,,
654,378.6528,225.3981,43571,40354,0.9261664868834776,40354,319.69454545454545,186.72248062015504,519.0747330960854,34818,315.0367346938776,467.1358477474352
653,398.4475,236.8299,42409,40434,0.9534296965266806,40434,447.3860465116279,269.4396551724138,722.7128712871288,34521,440.3076923076923,634.4854330513924
652,418.2423,248.2607,42410,41506,0.9786842725772223,41506,864.0,518.212389380531,1393.1363636363635,36332,865.8333333333334,1121.0228882571193
651,154.0294,88.855,0,0,,0,,,,0,,
650,438.0372,259.6917,1203,1196,0.9941812136325852,1196,739.2,448.57142857142856,1277.3333333333333,257,666.0,1037.2040133779265
649,457.832,271.122,0,0,,0,,,,0,,
648,477.6269,282.5526,0,0,,0,,,,0,,
647,497.4219,293.9826,0,0,,0,,,,0,,
646,193.614,111.7091,0,0,,0,,,,0,,
645,233.2005,134.5644,0,0,,0,,,,0,,
644,292.5818,168.8482,0,0,,0,,,,0,,
643,332.1699,191.7046,0,0,,0,,,,0,,
642,371.7587,214.5609,57649,54714,0.9490884490624295,54714,289.8074454428755,171.89051808406649,476.4367245657569,47348,285.0987821380244,432.5107285155536
641,391.5529,225.9893,52565,49747,0.9463901835822315,49747,397.13380281690144,236.31306990881458,642.6832740213523,43800,393.0,571.2990130058093
640,490.5252,283.131,0,0,,0,,,,0,,
767,478.0239,344.5066,0,0,,0,,,,0,,
766,431.7949,310.9189,0,0,,0,,,,0,,
765,451.6731,322.4204,0,0,,0,,,,0,,
764,385.5659,277.3313,3448,3364,0.9756380510440835,3364,521.4814814814815,311.20000000000005,833.4545454545455,2745,525.2727272727273,731.9548156956005
763,471.5448,333.9159,0,0,,0,,,,0,,
762,405.4419,288.833,2717,2665,0.9808612440191388,2665,637.75,391.76000000000005,1040.875,2241,640.6315789473684,868.9876172607879
761,339.3373,243.7432,1604,1490,0.928927680798005,1490,297.6842105263158,182.07407407407408,485.45454545454544,1240,287.7037037037037,429.88993288590603
760,425.3107,300.3283,0,0,,0,,,,0,,
759,359.2101,255.2458,8545,8031,0.9398478642480983,8031,345.48936170212767,199.62406015037595,576.5200000000001,7063,339.9012345679012,509.71037230730917
758,293.1089,210.1559,0,0,,0,,,,0,,
757,379.0752,266.7409,10575,10061,0.9513947990543735,10061,476.77669902912623,284.13846153846157,768.1276595744681,8808,475.7113402061856,668.1892456018288
756,445.1734,311.8177,0,0,,0,,,,0,,
755,312.9774,221.659,0,0,,0,,,,0,,
754,246.881,176.5683,0,0,,0,,,,0,,
753,398.9342,278.2293,6877,6740,0.9800785226116039,6740,608.5,367.21311475409834,972.9411764705882,6032,603.1999999999999,833.4421364985163
752,465.0312,323.302,0,0,,0,,,,0,,
751,332.8381,233.1534,0,0,,0,,,,0,,
750,266.7438,188.0722,0,0,,0,,,,0,,
749,200.6533,142.9805,0,0,,0,,,,0,,
748,484.8841,334.782,0,0,,0,,,,0,,
747,418.7875,289.7122,416,415,0.9975961538461539,415,686.0,374.0,1109.0,298,701.3333333333333,915.0168674698796
746,352.6922,244.6405,10066,9399,0.9337373335982515,9399,293.83561643835617,172.77011494252875,483.6666666666667,8140,285.9212598425197,440.5264389828705
745,286.5984,199.5664,0,0,,0,,,,0,,
744,220.5083,154.4864,0,0,,0,,,,0,,
743,438.6365,301.1902,0,0,,0,,,,0,,
742,154.4273,109.3933,0,0,,0,,,,0,,
741,372.5406,256.1216,16195,15240,0.9410311824637234,15240,409.4634146341463,245.20197044334975,671.8024691358025,13402,401.875,594.6524934383202
740,306.4464,211.0518,0,0,,0,,,,0,,
739,458.4807,312.6643,0,0,,0,,,,0,,
738,240.3549,165.9796,0,0,,0,,,,0,,
737,392.3838,267.5979,11118,10726,0.964741860046771,10726,609.5058823529412,371.8867924528302,975.0769230769231,9275,605.1267605633802,831.7777363415998
736,326.2882,222.5308,0,0,,0,,,,0,,
735,478.3213,324.1347,0,0,,0,,,,0,,
734,174.2698,120.9017,0,0,,0,,,,0,,
733,412.2231,279.0691,7981,7845,0.9829595288810926,7845,762.1395348837209,457.20833333333337,1221.6190476190477,7107,761.7435897435897,1013.5000637348629
732,260.1943,177.4633,0,0,,0,,,,0,,
731,108.2044,75.8071,0,0,,0,,,,0,,
730,346.1252,234.004,3496,3184,0.9107551487414187,3184,244.74576271186442,145.5757575757576,413.0526315789474,2714,238.46153846153848,389.4396984924623
729,432.0584,290.5371,0,0,,0,,,,0,,
728,194.1044,132.3939,0,0,,0,,,,0,,
727,280.0282,188.9392,0,0,,0,,,,0,,
726,365.9583,245.4727,15372,14383,0.9356622430392922,14383,334.17341040462424,197.42583732057415,550.1428571428571,12661,326.6368715083799,496.16769797677813
725,451.8905,302.0012,0,0,,0,,,,0,,
724,299.8576,200.4088,0,0,,0,,,,0,,
723,385.7876,256.9371,20387,19314,0.9473684210526315,19314,543.0810810810812,322.75935828877004,877.2105263157895,17386,535.223880597015,752.4924924924925
722,471.7199,313.4622,0,0,,0,,,,0,,
721,213.9324,143.8748,0,0,,0,,,,0,,
720,128.0242,87.3208,0,0,,0,,,,0,,
719,491.5465,324.9212,0,0,,0,,,,0,,
718,405.6136,268.3982,14282,13966,0.9778742473042992,13966,746.7586206896551,454.56880733944956,1188.7441860465117,12638,748.0481927710844,998.0432478877274
717,319.6827,211.8738,0,0,,0,,,,0,,
