station,vmm,ch,channel_id,x,y,radius,phi,pad_area,connector_N,half,n_track,k_track,eff,n_hits,adc_med,adc_p25,adc_p75,adc_med_raw8,adc_mpv,masked,illuminated,eff_err
P2_IN,2,43,404,297.3957,103.6827,365.1002,0.36313736,132.324,4,bot,0.0,0.0,,21344.0,82.71567567567567,71.85867620751341,107.21649484536083,82.0096,72.0,False,False,
P2_IN,2,44,403,265.1722,91.9671,330.8091,0.36438749,132.126,4,bot,0.0,0.0,,1206.0,105.54385964912281,86.63659147869674,705.9999999999999,102.55421686746988,88.0,False,False,
P2_IN,2,45,402,232.9471,80.2552,296.5154,0.36582263,131.872,4,bot,0.0,0.0,,10433.0,89.77326035965598,75.38936346100854,120.26299694189603,87.1756601607348,72.0,False,False,
P2_IN,2,46,401,200.7195,68.5485,262.2188,0.36740562,131.53,4,bot,0.0,0.0,,11463.0,77.47185354691075,66.97940503432494,102.05919661733616,76.07670454545455,72.0,False,False,
P2_IN,2,47,400,168.4884,56.8501,227.9135,0.36888359,131.03,4,bot,0.0,0.0,,7229.0,77.12874251497006,66.30688622754491,104.23048327137546,76.32918660287082,72.0,False,False,
P2_IN,2,48,399,136.2509,45.167,193.6564,0.37826935,130.267,4,bot,0.0,0.0,,6628.0,87.22095897182402,74.99621689785624,108.87058823529412,85.1545518701482,72.0,False,False,
P2_IN,2,49,398,534.9965,185.8953,616.4724,0.3485753,132.994,4,bot,0.0,0.0,,15927.0,86.81458003169573,73.52221462747778,113.43014301430142,84.81343283582089,72.0,False,False,
P2_IN,2,50,397,502.7736,174.1724,582.1798,0.34829742,132.942,4,bot,0.0,0.0,,15606.0,93.05472636815921,81.10983543819364,121.30970464135021,92.32122370936902,88.0,False,False,
P2_IN,2,51,396,470.5501,162.4503,547.8857,0.34793922,132.885,4,bot,0.0,0.0,,18688.0,86.13291564108302,73.51629690495754,112.41064638783268,84.44935064935065,72.0,False,False,
P2_IN,2,52,395,438.326,150.7284,513.5904,0.3474698,132.823,4,bot,0.0,0.0,,26707.0,93.87705263157895,82.632,121.68932038834951,93.51625615763547,88.0,False,False,
P2_IN,2,53,394,406.1005,139.0076,479.2937,0.34684353,132.734,4,bot,0.0,0.0,,31921.0,85.33432539682539,73.44877746827608,107.00501716398205,84.06578449905481,72.0,False,False,
P2_IN,2,54,393,373.874,127.288,444.9938,0.34599438,132.639,4,bot,0.0,0.0,,30787.0,78.3143445435827,68.92305345840006,99.09750566893423,77.84561403508772,72.0,False,False,
P2_IN,2,55,392,341.646,115.5698,410.6915,0.34480407,132.522,4,bot,0.0,0.0,,30274.0,76.08020219039595,65.87834877843302,95.47053941908715,74.95576756287944,72.0,False,False,
P2_IN,2,56,391,309.4155,103.8532,376.3839,0.34308369,132.369,4,bot,0.0,0.0,,17446.0,89.5986129172085,75.71711741978834,115.56143667296786,87.48360932747549,72.0,False,False,
P2_IN,2,57,390,277.1825,92.1395,342.0808,0.3429542,132.196,4,bot,0.0,0.0,,10259.0,75.7358967872502,65.35492031368581,95.40127388535032,73.71513795674869,72.0,False,False,
