channel_id,feu,channel,pad_cx,pad_cy,ped_mean,thr_word,thr_adc
666,5,293,444.8746,270.5046,325,284,28
665,5,294,279.6786,168.2358,335,284,28
664,5,295,464.6725,281.9385,314,284,28
663,5,296,484.4697,293.3725,336,284,28
662,5,297,299.4733,179.6695,327,284,28
661,5,298,504.2669,304.8057,311,283,27
660,5,299,104.5448,60.2851,309,284,28
659,5,300,319.2679,191.1022,310,284,28
658,5,301,114.4485,66.0033,312,285,29
657,5,302,339.0627,202.5348,301,284,28
656,5,303,358.8578,213.9666,313,284,28
655,5,304,134.2382,77.4287,320,285,29
654,5,305,378.6528,225.3981,306,283,27
653,5,306,398.4475,236.8299,296,283,27
652,5,307,418.2423,248.2607,309,282,26
651,5,308,154.0294,88.855,291,284,28
650,5,309,438.0372,259.6917,273,282,26
649,5,310,457.832,271.122,279,283,27
648,5,311,477.6269,282.5526,295,282,26
647,5,312,497.4219,293.9826,280,283,27
646,5,313,193.614,111.7091,280,283,27
645,5,314,233.2005,134.5644,279,284,28
644,5,315,292.5818,168.8482,268,283,27
643,5,316,332.1699,191.7046,293,284,28
642,5,317,371.7587,214.5609,297,282,26
641,5,318,391.5529,225.9893,270,283,27
640,5,319,490.5252,283.131,304,283,27
767,5,320,478.0239,344.5066,314,284,28
766,5,321,431.7949,310.9189,345,283,27
765,5,322,451.6731,322.4204,289,283,27
764,5,323,385.5659,277.3313,338,284,28
763,5,324,471.5448,333.9159,320,284,28
762,5,325,405.4419,288.833,332,283,27
761,5,326,339.3373,243.7432,288,284,28
760,5,327,425.3107,300.3283,280,283,27
759,5,328,359.2101,255.2458,294,284,28
758,5,329,293.1089,210.1559,338,283,27
757,5,330,379.0752,266.7409,306,284,28
756,5,331,445.1734,311.8177,309,284,28
755,5,332,312.9774,221.659,289,284,28
754,5,333,246.881,176.5683,342,284,28
753,5,334,398.9342,278.2293,333,284,28
752,5,335,465.0312,323.302,339,283,27
751,5,336,332.8381,233.1534,320,286,30
750,5,337,266.7438,188.0722,303,284,28
749,5,338,200.6533,142.9805,308,286,30
748,5,339,484.8841,334.782,338,284,28
747,5,340,418.7875,289.7122,312,284,28
746,5,341,352.6922,244.6405,348,284,28
745,5,342,286.5984,199.5664,308,285,29
744,5,343,220.5083,154.4864,343,284,28
743,5,344,438.6365,301.1902,322,284,28
742,5,345,154.4273,109.3933,346,285,29
741,5,346,372.5406,256.1216,344,285,29
740,5,347,306.4464,211.0518,346,283,27
739,5,348,458.4807,312.6643,321,285,29
738,5,349,240.3549,165.9796,326,285,29
737,5,350,392.3838,267.5979,331,285,29
736,5,351,326.2882,222.5308,317,285,29
735,5,352,478.3213,324.1347,316,284,28
734,5,353,174.2698,120.9017,347,284,28
733,5,354,412.2231,279.0691,328,284,28
732,5,355,260.1943,177.4633,331,284,28
731,5,356,108.2044,75.8071,340,285,29
730,5,357,346.1252,234.004,325,285,29
729,5,358,432.0584,290.5371,326,285,29
728,5,359,194.1044,132.3939,341,284,28
727,5,360,280.0282,188.9392,307,286,30
726,5,361,365.9583,245.4727,326,285,29
725,5,362,451.8905,302.0012,314,285,29
724,5,363,299.8576,200.4088,370,284,28
723,5,364,385.7876,256.9371,293,285,29
722,5,365,471.7199,313.4622,315,284,28
721,5,366,213.9324,143.8748,339,286,30
720,5,367,128.0242,87.3208,340,286,30
719,5,368,491.5465,324.9212,320,283,27
718,5,369,405.6136,268.3982,307,283,27
717,5,370,319.6827,211.8738,324,284,28
716,5,371,233.7557,155.3466,316,284,28
715,5,372,425.4372,279.8563,327,286,30
714,5,373,147.8398,98.8111,322,285,29
713,5,374,339.505,223.334,295,285,29
712,5,375,445.2584,291.3116,311,284,28
711,5,376,253.5749,166.8115,304,284,28
710,5,377,359.3243,234.7913,364,284,28
709,5,378,465.0774,302.7647,285,283,27
708,5,379,273.3913,178.2714,297,284,28
707,5,380,379.1413,246.2453,300,283,27
706,5,381,484.8946,314.2159,352,283,27
705,5,382,167.6517,110.2871,312,286,30
704,5,383,293.205,189.7268,306,284,28
831,5,384,397.4839,318.3122,296,284,28
830,5,385,147.3473,118.758,344,284,28
829,5,386,371.2104,296.2709,316,284,28
828,5,387,246.1312,196.5036,318,285,29
827,5,388,121.0825,96.7166,323,284,28
826,5,389,344.9356,274.2293,305,284,28
