node_id,x_mm,y_mm,z_mm,Ux_norm,Uy_norm,Uz_norm,eigenvalue,T_buckle_C
104,586.1390,75.9691,0.0000,-0.000005,0.000004,0.000017,1.003860,146.5
105,590.1270,69.0628,0.0000,-0.000001,0.000002,0.000006,1.003860,146.5
106,594.1140,62.1565,0.0000,0.000000,-0.000000,0.000002,1.003860,146.5
107,598.1010,55.2502,0.0000,-0.000001,0.000000,0.000006,1.003860,146.5
108,602.0890,48.3439,0.0000,-0.000000,0.000003,0.000013,1.003860,146.5
109,606.0760,41.4377,0.0000,0.000002,0.000001,0.000009,1.003860,146.5
110,610.0630,34.5314,0.0000,0.000001,-0.000002,0.000001,1.003860,146.5
111,614.0510,27.6251,0.0000,0.000002,-0.000004,-0.000004,1.003860,146.5
112,618.0380,20.7188,0.0000,0.000001,-0.000000,-0.000010,1.003860,146.5
113,622.0250,13.8126,0.0000,0.000002,0.000000,-0.000008,1.003860,146.5
114,626.0130,6.9063,0.0000,0.000001,-0.000000,-0.000007,1.003860,146.5
115,316.9940,542.1430,0.0000,-0.000001,0.000000,0.000010,1.003860,146.5
116,320.9810,535.2370,0.0000,-0.000001,0.000000,0.000010,1.003860,146.5
117,324.9680,528.3300,0.0000,-0.000001,0.000002,0.000008,1.003860,146.5
118,328.9560,521.4240,0.0000,0.000005,0.000007,0.000007,1.003860,146.5
119,332.9430,514.5180,0.0000,-0.000002,-0.000003,0.000012,1.003860,146.5
120,336.9300,507.6110,0.0000,-0.000001,-0.000000,0.000009,1.003860,146.5
121,340.9180,500.7050,0.0000,0.000003,0.000001,0.000011,1.003860,146.5
122,344.9050,493.7990,0.0000,-0.000001,0.000003,0.000004,1.003860,146.5
123,348.8920,486.8930,0.0000,-0.000000,0.000003,-0.000002,1.003860,146.5
124,352.8800,479.9860,0.0000,-0.000004,0.000004,0.000002,1.003860,146.5
125,356.8670,473.0800,0.0000,-0.000001,0.000004,0.000001,1.003860,146.5
126,360.8540,466.1740,0.0000,-0.000022,0.000017,-0.000009,1.003860,146.5
127,364.8420,459.2680,0.0000,-0.000007,0.000009,-0.000005,1.003860,146.5
128,368.8290,452.3610,0.0000,-0.000002,0.000004,-0.000000,1.003860,146.5
129,372.8160,445.4550,0.0000,-0.000005,-0.000001,-0.000001,1.003860,146.5
130,376.8040,438.5490,0.0000,-0.000004,-0.000000,-0.000001,1.003860,146.5
131,380.7910,431.6420,0.0000,0.000001,0.000001,-0.000005,1.003860,146.5
132,384.7780,424.7360,0.0000,-0.000001,0.000001,-0.000011,1.003860,146.5
133,388.7660,417.8300,0.0000,0.000001,0.000001,-0.000017,1.003860,146.5
134,392.7530,410.9240,0.0000,-0.000001,0.000002,-0.000010,1.003860,146.5
135,396.7410,404.0170,0.0000,-0.000003,0.000006,-0.000006,1.003860,146.5
136,400.7280,397.1110,0.0000,-0.000006,0.000007,0.000003,1.003860,146.5
137,404.7150,390.2050,0.0000,0.000002,-0.000003,-0.000000,1.003860,146.5
138,408.7030,383.2980,0.0000,0.000003,-0.000004,0.000004,1.003860,146.5
139,412.6900,376.3920,0.0000,0.000001,0.000002,0.000003,1.003860,146.5
140,416.6770,369.4860,0.0000,0.000000,-0.000002,-0.000007,1.003860,146.5
141,420.6650,362.5800,0.0000,-0.000000,0.000002,-0.000026,1.003860,146.5
142,424.6520,355.6730,0.0000,0.000013,0.000007,-0.000063,1.003860,146.5
143,428.6390,348.7670,0.0000,0.000011,-0.000001,-0.000054,1.003860,146.5
144,432.6270,341.8610,0.0000,0.000006,-0.000003,-0.000032,1.003860,146.5
145,436.6140,334.9540,0.0000,0.000002,-0.000002,-0.000022,1.003860,146.5
146,440.6010,328.0480,0.0000,0.000001,-0.000001,-0.000017,1.003860,146.5
147,444.5890,321.1420,0.0000,0.000004,-0.000004,-0.000039,1.003860,146.5
148,448.5760,314.2360,0.0000,0.000000,-0.000009,-0.000091,1.003860,146.5
149,452.5630,307.3290,0.0000,-0.000002,-0.000001,-0.000050,1.003860,146.5
150,456.5510,300.4230,0.0000,0.000003,-0.000000,0.000005,1.003860,146.5
151,460.5380,293.5170,0.0000,-0.000000,-0.000000,0.000040,1.003860,146.5
152,464.5250,286.6110,0.0000,-0.000001,-0.000002,0.000081,1.003860,146.5
153,468.5130,279.7040,0.0000,-0.000007,-0.000003,0.000146,1.003860,146.5
154,472.5000,272.7980,0.0000,-0.000006,-0.000002,0.000219,1.003860,146.5
155,476.4870,265.8920,0.0000,-0.000008,-0.000008,0.000412,1.003860,146.5
