station,gas,run,sub,chip,mesh,drift,n,sigma,mu,ctr,eff,pt,gain
P2_IN,Ar/CO2/Iso 93/5/2,run_58,operating_02,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,37,56.16066656744693,216.82812481647824,11.612916812916811,0.1673892354869409,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m00V,p2b-config-cern-ext_gain3.0_peaktime200.txt,450.0,750.0,41,20.22559350782337,106.94839379729972,34.52785860533643,0.3317318485923398,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m100V,p2b-config-cern-ext_gain3.0_peaktime200.txt,350.0,650.0,13,4.756183357147724,214.97158604370304,29.337194337194333,-4.017839206074973e-05,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m10V,p2b-config-cern-ext_gain3.0_peaktime200.txt,440.0,740.0,41,21.520784248919952,108.06215859772615,33.39179133883797,0.2419157544773076,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m20V,p2b-config-cern-ext_gain3.0_peaktime200.txt,430.0,730.0,41,22.610658159245784,109.85383641575368,30.72827391256919,0.1523283977698565,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m30V,p2b-config-cern-ext_gain3.0_peaktime200.txt,420.0,720.0,48,23.82104637263618,110.74388850464169,27.601529816031444,0.09509921559558004,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m40V,p2b-config-cern-ext_gain3.0_peaktime200.txt,410.0,710.0,29,24.778661205632325,110.61602826782742,22.268365050133006,0.0647512116879946,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m50V,p2b-config-cern-ext_gain3.0_peaktime200.txt,400.0,700.0,28,25.132865741323947,111.14807052295521,21.576423385429063,0.0462836677854717,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m60V,p2b-config-cern-ext_gain3.0_peaktime200.txt,390.0,690.0,29,25.45994249481854,111.4190393748504,20.3622128912458,0.0336177609228095,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m70V,p2b-config-cern-ext_gain3.0_peaktime200.txt,380.0,680.0,27,25.478857766418,111.81326327005245,18.344299923488904,0.0247407734249424,200.0,3.0
P2_MID,Ar/CF4/Iso 88/10/2,run_61,meshscan_m80V,p2b-config-cern-ext_gain3.0_peaktime200.txt,370.0,670.0,29,22.976778468220395,111.8134261958576,17.799541607898448,0.0186552737395607,200.0,3.0
