run,sub,vmm_source,trigger_vmm,trigger_ch,n_dream_events,n_dream_covered,n_vmm_triggers,n_matched,match_frac_dream,match_frac_covered,vmm_unmatched_frac,drift_ppm,offset_s,residual_rms_ns,residual_med_ns,n_spills,lock_sigma,status
run_26,meshscan_m100V,pcapng,0,44,886960,839673,801439,30204,0.0340534,0.0359711,0.962313,0.053915,-31.4694,1094.56,-6.75804,17,6.51124,FAIL
run_28,cfg_gain4.5_peaktime25,none,,,3066687,,0,0,0,,0,,0,,,0,0,NO-VMM
run_29,trigtest_gain3.0_peaktime200,hits_store,0,44,973706,969043,999349,60661,0.0622991,0.0625989,0.939299,0.704465,0.783098,448.133,-4.05884,22,8.40769,FAIL
run_31,trigtest_gain3.0_peaktime200,hits_store,0,44,222005,190059,301589,189100,0.851783,0.994954,0.372988,0.689312,1.82416,8.58975,-0.65412,4,117.521,OK
run_32,meshscan_m00V,hits_store,0,44,2349743,2348061,3336752,2336466,0.99435,0.995062,0.299778,0.695558,1.70044,10.2886,-0.368896,50,125.233,OK
run_32,meshscan_m10V,hits_store,0,44,2348690,2346077,3336879,2334009,0.993749,0.994856,0.300541,0.696648,0.958921,10.2475,-0.351654,50,114.522,OK
run_32,meshscan_m20V,hits_store,0,44,1979049,1970662,2801717,1960669,0.990713,0.994929,0.30019,0.697513,3.559,10.701,-0.335999,42,116.41,OK
run_32,meshscan_m30V,hits_store,0,44,2353999,2350792,3335924,2338546,0.993435,0.99479,0.298981,0.696007,1.18166,10.4807,-0.114624,50,116.801,OK
run_32,meshscan_m40V,hits_store,0,44,2360186,2351766,3335948,2339829,0.991375,0.994924,0.298601,0.691891,2.78058,10.3156,-0.478149,50,122.989,OK
run_32,meshscan_m50V,hits_store,0,44,2359114,2354307,3331391,2335560,0.990016,0.992037,0.298923,0.688773,0.744958,9.96605,-0.291016,50,117.503,OK
run_32,meshscan_m60V,hits_store,0,44,2353533,2343467,3355484,2318883,0.985277,0.98951,0.308927,0.691867,-4.77786,10.1081,-0.378845,50,116.232,OK
run_33,driftscan_gap150V,hits_store,0,44,2354643,2339279,3351401,2327095,0.988301,0.994792,0.305635,0.666494,1.35808,10.1012,-0.267944,51,120.434,OK
run_33,driftscan_gap200V,hits_store,0,44,2356481,2321707,3407655,2302434,0.977065,0.991699,0.324335,0.669302,-4.98893,10.6887,-0.408127,51,121.061,OK
