run_no,sg,snt,vmm_id,rate_on_khz,rate_off_khz,rate_on_std_khz,rate_off_std_khz,trig_rate_on_khz,n_on_bins,n_off_bins,n_good_channels
73,3.0,50,9,0.009225329869071272,0.00021047259649983156,0.0037457170426049573,0.0002786767056622823,4.114809720311784,98145,501633,50
78,4.5,200,12,0.004695472212429044,0.00012711530443194855,0.00427012124112601,9.188996777936239e-05,4.13645043544681,159721,440138,58
78,4.5,200,13,0.0024540776850600974,0.0002605487809615137,0.0024878432276366435,0.00047222352657960666,4.13645043544681,159721,440138,62
78,4.5,200,14,0.016301540891294274,0.00029904040918768117,0.014817765229475895,0.00017675392046920466,4.13645043544681,159721,440138,63
78,4.5,200,15,0.010217509404975747,0.0003916804334616662,0.008591744567884262,0.0005083308866999241,4.13645043544681,159721,440138,61
78,4.5,200,10,0.14075794666950495,0.0002017123038683322,0.07708265681113512,6.606870253370526e-05,4.13645043544681,159721,440138,32
78,4.5,200,11,0.14471171605487068,0.00024660447405132027,0.05350118359771577,0.00041704516616821753,4.13645043544681,159721,440138,50
78,4.5,200,8,0.04430505867019408,5.8210583169761335e-05,0.023354512969124348,1.1529814261342208e-05,4.13645043544681,159721,440138,29
78,4.5,200,9,0.035271003812898744,0.0001406377090821515,0.015548187856274815,0.000428031467129575,4.13645043544681,159721,440138,50
82,4.5,100,12,0.00346028305921878,0.0003770052722884023,0.0025096258146689587,0.0002350530547479795,4.123674728016076,57724,542387,58
82,4.5,100,13,0.002172741924307215,0.00044959565533406485,0.0015713544620372453,0.00026621279410909195,4.123674728016076,57724,542387,62
82,4.5,100,14,0.011477166109554718,0.0008390014732349634,0.009324668733187384,0.00019708713371367745,4.123674728016076,57724,542387,63
82,4.5,100,15,0.00738960184757086,0.0009282888477760133,0.005098223242146444,0.0002498555241856411,4.123674728016076,57724,542387,61
82,4.5,100,10,0.1350110006236574,0.00030196381919183165,0.07264503188809535,4.283814526705849e-05,4.123674728016076,57724,542387,32
82,4.5,100,11,0.13449518397893423,0.00021364818847059388,0.049300073728410804,2.2630689236471402e-05,4.123674728016076,57724,542387,50
82,4.5,100,8,0.03550247431893506,0.00014717828083434255,0.018359245928901743,1.9240097840408964e-05,4.123674728016076,57724,542387,29
82,4.5,100,9,0.02822015106368235,0.00010634473171370258,0.012136587554336782,1.869495651664039e-05,4.123674728016076,57724,542387,50
97,4.5,50,12,0.0012686182507252114,0.00027436361175703437,0.0006726240116123076,0.00013680264194541877,4.161533168109358,193273,406395,58
97,4.5,50,13,0.000922228844607736,0.0004099380508951842,0.0004080871583646008,0.0004374764571451149,4.161533168109358,193273,406395,62
97,4.5,50,14,0.0030911945509431967,0.0002289195143437937,0.0024017341331764377,0.00016026015137816688,4.161533168109358,193273,406395,63
97,4.5,50,15,0.002141454036009372,0.0003316647233501929,0.0013837521307705132,0.0004900402912072037,4.161533168109358,193273,406395,61
97,4.5,50,10,0.10960678030557812,0.00043199965550757267,0.058946287035566466,5.442364004505753e-05,4.161533168109358,193273,406395,32
97,4.5,50,11,0.10447056753918034,0.0003320906999347925,0.03921791985612407,0.00045759122940829523,4.161533168109358,193273,406395,50
97,4.5,50,8,0.037621252910614016,0.00024343565861479255,0.019342011847240367,0.00011529742272882259,4.161533168109358,193273,406395,29
97,4.5,50,9,0.028902847267854276,0.00024498332902717795,0.01242421815887385,0.0004661322230769293,4.161533168109358,193273,406395,50
99,6.0,200,12,0.0047479960869239906,0.00034469662374493235,0.00381221523500236,0.00021861913774244847,4.169777746233245,197252,402853,58
99,6.0,200,13,0.00265028589595232,0.0005627603056682086,0.0022554046266466425,0.0005391724246006949,4.169777746233245,197252,402853,62
99,6.0,200,14,0.016120785304367728,0.0007292825194144038,0.014007952060180994,0.0002764892592114973,4.169777746233245,197252,402853,63
99,6.0,200,15,0.010341684914661881,0.0009454695531661408,0.008048803300360705,0.0008562429881046518,4.169777746233245,197252,402853,61
99,6.0,200,10,0.16605851905177132,0.0003479091628956468,0.09039159452531109,3.9121303275157686e-05,4.169777746233245,197252,402853,32
99,6.0,200,11,0.1707610569221098,0.00043514631888058423,0.06315281272666967,0.0005738020810660095,4.169777746233245,197252,402853,50
99,6.0,200,8,0.10894972788178538,0.00027690429049288703,0.05650441940214532,5.581343470900049e-05,4.169777746233245,197252,402853,29
99,6.0,200,9,0.09030286131446069,0.00036593993342484726,0.0392646726782479,0.0004613597817877074,4.169777746233245,197252,402853,50
